subject,com_x,com_y,com_z,r_min,r_max
sub-1263,-4.461502491291682,26.440878420651075,7.535537520266999,8.0375377894708,96.78724980303038
sub-1050,0.4746549943084091,-1.2664422524668595,18.2292578623423,5.394385395178868,86.92015050246397
sub-1245,-2.9664830085329754,18.718331802440318,0.12716516694005975,3.5951809064653677,94.96944986688709
sub-1049,0.31582446171022127,-1.1824009709209804,18.60899736576779,4.017864638848673,91.21148812430495
sub-1024,-1.7177858477913048,-4.632642973710091,-15.392290003306265,10.189072210629105,88.31096821217828
sub-1156,2.407345104063353,-6.556862394523233,10.176585539722495,6.795207983341406,85.60520695624197
sub-1232,-1.3554519384650376,19.467301497442293,-4.940964071321744,7.327830734179957,93.8741115581965
sub-1235,-2.6912085094189138,16.873687991384145,-4.5013820164485026,4.4660458220795,94.15915308336665
sub-1281,-0.8295130825553656,15.246336737382066,11.499574585426714,7.5634620248356175,93.68090896925871
sub-1061,-1.4372329375683393,-6.231794765126693,4.737071483903755,4.3564445167327746,85.63809853022155
sub-1066,-0.8303019674983432,-6.386271413863156,21.265673541789837,7.641257117571277,84.1634967918688
sub-1080,-8.57022727267426,4.836529554179364,35.049883243839744,4.221814537756996,94.13323886127358
sub-1135,4.78265228425267,-1.6212686818491377,25.172311589624876,3.4365899750067386,89.86155463499247
sub-1019,-7.55274918481004,1.5287776276231995,33.001491843545494,5.382014043829794,95.2818060019567
sub-1222,-2.002857578683688,17.137216361299025,12.163797039295517,7.208000630149173,96.22313872790697
sub-1178,-2.407589896783307,-8.754103691239735,3.199197815007153,7.386389857892852,100.4218569891324
sub-1191,-4.079398066414839,3.3478941009479968,20.233246338295245,5.359369334265038,99.14238254158093
sub-1217,-3.0504553010200866,-3.2882790833608855,26.32708062934779,2.5139639611572653,94.41430358557308
sub-1146,1.1229608085669582,7.036735765382417,34.561005510427734,5.316206960669958,90.4002969319708
sub-1047,2.794981864938677,4.5742386190071045,26.900244039005145,8.98396189006965,97.21213305898189
sub-1006,-0.15490368116425657,-4.5810723474444615,24.506070862635717,4.988251983875604,89.91602214736346
sub-1209,0.3508275786553696,-2.069901929510252,14.64205687068165,3.7921282483649534,92.56847934195228
sub-1164,-2.7824742799718365,-5.138153409060701,18.138850012399402,7.5734838897564725,99.04676067287969
sub-1046,0.34438911590804366,10.084906955373,18.006511761072176,2.648195689377401,98.9259772798231
sub-1149,7.692661639015853,-1.8010149325491382,22.66961636706984,3.6873530281576055,86.22356970143855
sub-1124,3.4632095907875566,-4.197075125219614,27.46789353722444,7.054991416313538,90.37207718647355
sub-1175,-6.783691399390321,-5.867817923160338,9.089598166271784,7.442596988082158,95.59814703164359
sub-1115,1.6167411645389222,1.4673114757151557,17.23384148795455,6.598571186933155,93.25962979770684
